File size:, 1073741824 Bytes
Repeats per buffer size:,10
Buffer size, Mean elapsed time
4,3599679473
8,1878604706
16,1051773701
32,627308275
64,418984899
128,329011859
256,274353477
512,255858525
1024,239104732
2048,232049720
4096,215993033
8192,160055013
16384,134227816
32768,113022825
65536,109610323
131072,105997524
262144,113966806
524288,111127514
1048576,110829084
2097152,109966444
4194304,121478723
8388608,156286247
16777216,166345979
33554432,169159174
67108864,170734241
134217728,171280759
268435456,173851867
536870912,179386224
1073741824,190725675
